PDB , Chain , Domains, Length, Interaction Energy, Density, Radius of Gyration,,PDB , Chain , Length, Interaction Energy, Density, Radius of Gyration
3bwg , A ,2,222,1.572,0.032,20.228,,1b8z , A ,67,0.756,0.028,15.262
1ewr , A ,3,440,3.208,0.035,37.105,,1am2 , A ,181,1.859,0.049,17.221
1a8y , A ,3,338,2.392,0.035,25.92,,2hi7 , A ,188,1.928,0.047,17.618
2hr7 , A ,3,468,1.99,0.015,34.386,,1c5e , A ,95,1.36,0.062,13.032
1a45 , A ,2,173,1.75,0.045,18.599,,1a2i , A ,107,1.35,0.047,14.131
1vq0 , A ,2,290,1.356,0.04,21.817,,1rrz , A ,66,0.992,0.049,12.791
1cjx , A ,2,352,3.136,0.05,21.202,,2isb , A ,190,2.237,0.061,16.492
1ux6 , A ,2,335,2.753,0.044,21.379,,1dt4 , A ,73,1.1,0.053,12.211
1yua , A ,2,122,1.405,0.044,16.577,,1ln0 , A ,92,1.272,0.055,13.448
1olz , A ,3,621,3.447,0.033,29.035,,1bor , A ,56,1.073,0.078,9.769
2pv7 , A ,2,270,1.914,0.029,23.372,,1cn3 , A ,283,2.266,0.038,26.673
2fb1 , A ,2,215,1.877,0.035,21.013,,1a33 , A ,174,2.133,0.064,15.707
1bs2 , A ,3,603,3.692,0.032,29.662,,1bow , A ,143,1.761,0.053,15.937
1nlt , A ,3,228,1.269,0.01,31.884,,1ad6 , A ,185,2.027,0.051,19.02
1m6b , A ,4,549,2.453,0.014,36.931,,1aja , A ,435,3.683,0.051,23.602
1q5v , A ,2,115,0.89,0.022,18.574,,1adr , A ,76,1.117,0.059,12
1000000000000000, A ,3,496,2.988,0.043,26.545,,1j3m , A ,127,1.463,0.042,15.616
1bia , A ,3,292,2.427,0.037,26.692,,1y0k , A ,180,1.946,0.052,16.478
1jqj , A ,3,366,2.462,0.027,28.456,,1so9 , A ,131,1.367,0.038,16.207
1hc1 , A ,3,634,4.49,0.046,27.537,,1gtd , A ,76,0.754,0.023,16.893
1e5u , I ,2,187,1.595,0.03,125.495,,1fw9 , A ,164,1.955,0.057,14.822
1akl , A ,2,470,3.021,0.033,27.532,,1b2p , A ,119,1.379,0.048,15.266
1vqz , A ,2,327,2.592,0.043,21.03,,1a2z , A ,220,2.452,0.058,19.066
3bzc , A ,5,730,3.237,0.022,36.319,,1g57 , A ,205,2.267,0.058,17.197
1ksk , A ,2,227,1.149,0.023,23.992,,1nyc , A ,111,1.369,0.05,13.941
1fwy , A ,2,326,1.983,0.036,29.788,,1bh3 , A ,289,2.553,0.041,20.563
1dg3 , A ,2,540,2.027,0.013,39.481,,1b0y , A ,85,1.285,0.061,11.861
1dq3 , A ,4,454,3.114,0.039,25.202,,1dm9 , A ,104,0.923,0.044,14.622
1a79 , A ,2,171,1.69,0.041,18.255,,11as , A ,327,3.022,0.052,19.638
1brw , A ,3,433,3.525,0.049,23.664,,1n81 , A ,186,1.961,0.042,20.248
1fyb , A ,2,111,0.696,0.01,83.259,,1occ , A ,514,4.013,0.051,43.055
1b47 , A ,3,304,2.565,0.039,21.296,,1jr5 , A ,90,1.324,0.062,15.188
1a71 , A ,2,374,3.157,0.052,20.744,,1lm5 , A ,189,2.038,0.058,16.558
1ubd , C ,4,114,0.927,0.016,20.373,,1mzg , A ,140,1.614,0.045,19.011
1ppr , M ,2,312,2.635,0.038,22.427,,101m , A ,154,1.824,0.049,15.687
1skz , A ,2,104,1.237,0.039,15.388,,1txo , A ,230,2.498,0.056,17.467
1a8p , A ,2,257,2.376,0.052,18.427,,1ilv , A ,235,2.329,0.045,20.166
2oux , A ,2,246,2.033,0.035,21.502,,1wfe , A ,86,0.353,0.006,29.031
1nyq , A ,4,642,3.19,0.027,31.528,,1aro , L ,149,1.845,0.058,15.981
1tg7 , A ,5,971,5.626,0.042,32.76,,1gwy , A ,175,2.144,0.063,15.209
1clc , A ,2,541,4.06,0.049,25.894,,1d9n , A ,75,0.943,0.045,54.794
1a6a , A ,2,176,1.646,0.036,18.518,,1aun , A ,208,2.165,0.056,16.815
1pg0 , A ,2,492,3.286,0.035,26.166,,1ap8 , A ,213,0.662,0.032,26.493
1x9y , A ,2,346,3.053,0.05,20.427,,1bkj , A ,230,1.591,0.037,19.267
1lbu , A ,2,214,2.21,0.053,18.022,,1iu4 , A ,331,2.856,0.046,20.778
1ogp , A ,2,388,3.257,0.049,23.847,,1b66 , A ,138,1.489,0.037,17.692
2fef , A ,2,283,2.584,0.049,19.337,,1ehk , A ,544,4.324,0.053,24.105
1ca1 , A ,2,370,2.899,0.047,21.774,,1aj3 , A ,98,1.066,0.029,35.178
1cjd , A ,2,369,2.94,0.042,23.434,,1ame , A ,66,1.109,0.065,10.997
1ejj , A ,2,508,3.693,0.049,24.282,,1c3q , A ,284,2.961,0.062,18.45
2auw , A ,2,156,1.396,0.031,19.767,,2nwt , A ,69,0.299,0.002,44.679
1c4a , A ,3,574,3.621,0.044,26.186,,1ae9 , A ,171,1.997,0.054,16.478
1jrp , A ,4,450,3.431,0.044,23.463,,1edx , A ,40,0.81,0.065,9.354
1bpo , A ,2,487,2.585,0.028,30.233,,155c , A ,134,1.703,0.055,14.544
1d2k , A ,2,392,3.258,0.05,22.55,,1di6 , A ,183,2.038,0.058,16.278
1aof , A ,2,532,3.107,0.048,23.943,,1jni , A ,62,0.652,0.043,12.259
1qd1 , A ,2,329,2.862,0.053,20.061,,1eni , A ,137,1.552,0.043,16.138
1eut , A ,3,601,3.452,0.036,26.987,,1a2a , A ,122,1.534,0.053,15.216
2evr , A ,2,240,2.141,0.05,18.59,,1y1e , X ,272,2.844,0.06,18.428
1dlc , A ,3,584,3.904,0.042,26.508,,1d6g , A ,47,0.614,0.034,97.059
1nh2 , A ,2,183,1.482,0.028,20.405,,2o34 , A ,241,2.496,0.053,18.335
1i3q , C ,2,266,1.978,0.025,27.254,,1af5 , A ,126,1.405,0.045,15.761
1g6l , A ,2,198,2.041,0.047,17.803,,1iu3 , C ,115,1.447,0.056,15.689
1a3x , A ,3,487,3.711,0.044,24.403,,1aho , A ,66,1.106,0.065,11.685
1lsl , A ,2,113,0.627,0.005,32.608,,2iwm , A ,334,3.075,0.048,23.007
1q2l , A ,4,937,4.536,0.028,34.478,,1an1 , I ,40,0.792,0.068,10.837
1d1d , A ,2,220,1.613,0.031,26.629,,1drt , A ,315,2.891,0.054,18.841
1f00 , I ,3,282,1.474,0.013,31.567,,1i5h , W ,50,0.645,0.032,14.227
2oce , A ,5,729,3.224,0.024,33.785,,1mvf , A ,126,1.641,0.06,13.614
1qhd , A ,2,397,2.364,0.022,28.712,,1i51 , E ,18,0.266,0.03,10.373
1eqj , A ,2,508,3.695,0.049,24.272,,1hp8 , A ,68,1.012,0.046,12.794
1a6q , A ,2,363,2.987,0.043,22.742,,1h5p , A ,95,1.244,0.055,13.557
1cli , A ,2,341,2.859,0.043,25.166,,1j1v , A ,92,1.352,0.061,12.991
1j4w , A ,2,145,0.581,0.004,78.074,,1kaf , A ,108,1.485,0.059,13.3
1aua , A ,2,296,2.703,0.046,19.774,,2nqw , A ,96,1.45,0.065,12.532
1a65 , A ,3,504,4.164,0.055,22.116,,1xjh , A ,62,0.833,0.04,27.078
2gli , A ,5,155,1.187,0.019,20.947,,1jb7 , B ,226,1.255,0.026,23.29
1bp1 , A ,2,456,2.406,0.015,37.321,,1g3j , A ,522,2.667,0.017,35.188
1ctn , A ,3,538,2.907,0.035,28.942,,1bk7 , A ,190,2.036,0.05,16.998
1mla , A ,2,305,2.622,0.055,19.021,,1f82 , A ,424,3.444,0.045,22.579
1cqx , A ,3,403,3.058,0.042,23.756,,1wib , A ,92,0.713,0.023,18.336
1dli , A ,3,402,2.898,0.039,23.837,,1at3 , A ,217,2.424,0.059,16.812
1ufa , A ,2,501,3.939,0.049,23.722,,1e5k , A ,188,2.157,0.058,16.138
1m2o , A ,5,718,4.607,0.042,27.75,,1cmi , A ,85,1.31,0.063,13.013
3p0b , A ,2,530,4.161,0.051,23.159,,1cmx , A ,214,2.347,0.056,17.663
1na6 , A ,2,365,2.894,0.037,23.851,,1qw2 , A ,97,1.157,0.046,15.23
1gof , A ,3,639,4.133,0.05,24.88,,1pg6 , A ,206,2.031,0.042,19.359
1cr5 , A ,2,178,1.931,0.053,16.028,,1dtd , B ,61,1.033,0.061,13.691
1eqf , A ,2,267,2.248,0.036,21.267,,1bm8 , A ,99,1.461,0.063,15.264
1ulk , A ,3,126,1.22,0.026,18.388,,1a1t , A ,55,0.767,0.036,16.933
1m1h , A ,2,182,1.5,0.03,20.137,,1ahq , A ,133,1.72,0.057,17.857
1kny , A ,2,253,1.98,0.032,22.124,,1hnr , A ,47,0.789,0.05,14.368
1g8f , A ,3,510,2.498,0.033,26.847,,1fle , I ,47,0.756,0.05,13.213
1e6v , B ,2,436,3.087,0.043,26.363,,1j0t , A ,78,1.191,0.059,19.482
1sj8 , A ,2,297,2.487,0.034,23.533,,4mt2 , A ,61,0.751,0.034,15.13
1g3p , A ,2,198,1.804,0.039,22.028,,2odk , A ,61,0.618,0.049,12.258
1su4 , A ,4,994,4.286,0.022,39.535,,1rv9 , A ,242,2.593,0.059,17.408
1mms , A ,2,133,1.278,0.033,17.167,,1jvr , A ,137,0.44,0.007,47.453
1ewf , A ,2,474,2.556,0.016,36.933,,1b6e , A ,121,1.573,0.057,15.459
1m9s , A ,5,523,1.123,0.002,66.254,,2atz , A ,172,1.901,0.048,16.551
1an8 , A ,2,206,2.067,0.045,18.303,,1abv , A ,105,1.431,0.056,13.242
1bmf , A ,3,487,3.476,0.037,28.944,,1gcc , A ,63,0.987,0.051,33.734
2bcg , G ,3,442,3.486,0.044,23.922,,1dmg , A ,172,1.934,0.05,16.782
1dzf , A ,2,211,1.916,0.04,21.526,,1aui , A ,378,2.986,0.044,23.88
1rkc , A ,2,258,1.7,0.018,27.777,,1aml , A ,40,0.575,0.025,29.069
1b37 , A ,2,459,3.574,0.046,26.827,,1ap9 , A ,219,2.177,0.045,18.486
1jvs , A ,3,382,3.154,0.048,22.657,,1a0a , A ,63,0.521,0.02,17.648
1ki0 , A ,3,253,1.646,0.027,24.031,,1b9c , A ,224,2.352,0.056,17.451
1xc6 , A ,5,971,5.598,0.041,32.919,,1qhb , A ,595,4.123,0.044,26.23
1dkg , A ,2,158,0.593,0.007,32.378,,1f75 , A ,217,1.685,0.045,18.555
1miu , A ,5,671,2.829,0.011,44.639,,1yoz , A ,113,1.345,0.043,14.93
1jv2 , A ,4,927,2.718,0.018,40.463,,1wn9 , A ,123,1.73,0.063,14.226
1f0i , A ,2,504,4.18,0.057,21.804,,1l3a , A ,166,1.272,0.034,19.782
1xi8 , A ,3,269,1.715,0.037,20.829,,1o22 , A ,146,1.378,0.025,19.238
1qr0 , A ,2,228,2.162,0.041,20.714,,1is7 , K ,84,1.19,0.055,14.096
1div , A ,2,149,0.883,0.012,43.603,,1eyu , A ,156,1.642,0.037,17.969
2qfi , A ,2,286,2.042,0.022,26.516,,1ro7 , A ,255,2.59,0.054,18.009
1hf2 , A ,2,196,1.911,0.046,17.627,,2sic , E ,275,3.078,0.071,17.334
1p42 , A ,2,273,2.844,0.059,18.997,,1qqh , A ,144,1.485,0.039,17.77
1rc9 , A ,2,221,2.213,0.045,19.131,,1xn8 , A ,131,1.317,0.033,19.322
1giq , A ,2,411,2.998,0.037,24.019,,1lg7 , A ,163,1.842,0.052,17.253
1bdf , A ,2,226,1.742,0.027,22.744,,1q90 , B ,212,1.747,0.029,29.758
1a8d , A ,2,452,3.021,0.035,26.647,,1b65 , A ,363,3.339,0.055,21.883
1ukv , G ,3,444,3.503,0.044,23.856,,1t57 , A ,179,1.962,0.056,16.143
1h0m , A ,2,224,2.004,0.039,23.164,,1a6f , A ,113,1.534,0.059,14.419
1tvf , A ,2,369,2.991,0.044,22.816,,1xfh , A ,405,3.364,0.047,21.869
1dx5 , I ,3,118,1.076,0.02,22.031,,1i5j , A ,67,0.802,0.022,95.215
1or7 , A ,2,181,1.458,0.024,21.901,,1ml9 , A ,260,2.465,0.045,19.788
1f5y , A ,2,85,0.856,0.024,43.525,,1dqc , A ,73,0.961,0.054,12.833
1ovn , A ,2,229,1.731,0.029,21.704,,1ihn , A ,111,1.602,0.062,13.826
1bht , A ,2,176,1.636,0.039,20.587,,1eo8 , B ,175,0.969,0.013,30.48
1ou5 , A ,2,344,2.516,0.031,24.069,,2gkp , A ,178,2.115,0.057,16.709
1ef1 , A ,3,289,2.271,0.035,25.339,,1aoo , A ,40,0.825,0.07,9.499
1yln , A ,2,225,1.496,0.021,23.89,,1t07 , A ,78,0.947,0.039,13.756
1dbh , A ,2,332,2.407,0.029,24.164,,1ff3 , A ,210,2.338,0.056,17.19
1k7t , A ,4,170,1.523,0.032,20.038,,2ooj , A ,129,1.275,0.04,15.971
1shy , B ,2,499,3.699,0.043,25.071,,1pv5 , A ,263,2.249,0.047,19.403
1o4u , A ,2,265,2.01,0.029,23.612,,1a0k , A ,130,1.73,0.064,16.604
1aqt , A ,2,135,1.308,0.042,16.896,,3ci0 , I ,81,1.075,0.045,13.883
3hn4 , A ,3,259,2.322,0.04,20.06,,1g13 , A ,160,1.682,0.042,17.331
1fo1 , A ,2,215,1.379,0.028,24.164,,1dj7 , A ,109,1.447,0.055,14.08
1ll1 , A ,3,590,4.414,0.051,23.989,,1b78 , A ,184,1.812,0.044,17.393
1e8c , A ,3,482,2.92,0.041,26.636,,1a30 , A ,99,1.382,0.053,13.951
1aye , A ,2,307,3.109,0.059,20.707,,1f46 , A ,139,1.653,0.05,16.501
1ais , B ,2,193,1.697,0.037,20.029,,1i9b , A ,205,1.865,0.038,19.871
1dky , A ,2,211,1.703,0.029,21.522,,1xx7 , A ,172,1.951,0.05,19.036
1vcl , A ,3,431,3.199,0.044,23.174,,1c5a , A ,65,1.074,0.061,38.916
1b6r , A ,3,349,2.418,0.045,21.47,,1akz , A ,223,2.334,0.054,17.234
1eg9 , A ,2,447,2.662,0.048,25.046,,1ay9 , A ,108,1.232,0.036,17.203
1r0v , A ,3,244,1.974,0.032,21.613,,1g72 , A ,571,4.809,0.064,22.03
1ile , A ,3,821,4.224,0.025,34.509,,1g24 , A ,211,2.122,0.048,19.198
1dfc , A ,4,475,3.48,0.04,26.623,,1p32 , A ,182,1.351,0.029,21.065
1fpo , A ,2,171,1.481,0.024,20.67,,1a44 , A ,185,2.189,0.061,15.465
1px5 , A ,2,327,2.764,0.043,22.33,,1afr , A ,345,2.897,0.045,22.123
1c5k , A ,2,397,2.675,0.041,23.391,,1aer , A ,205,2.067,0.048,18.87
1q25 , A ,3,428,2.917,0.04,24.81,,1afh , A ,93,1.436,0.07,16.785
1fu1 , A ,2,174,0.574,0.013,28.102,,1rq6 , A ,62,0.923,0.047,12.324
1dlp , A ,2,233,2.251,0.047,21.126,,1jos , A ,102,1.337,0.05,14.879
2q07 , A ,3,266,2.083,0.033,21.523,,1fwq , A ,115,1.55,0.055,40.324
1a6d , A ,3,503,2.771,0.027,37.508,,1nn4 , A ,159,1.912,0.058,16.026
1okg , A ,3,347,2.252,0.037,22.647,,1cfh , A ,47,0.592,0.019,14.581
3bzk , A ,5,730,3.248,0.025,33.129,,1g7d , A ,106,1.425,0.053,13.77
1e2x , A ,2,223,1.642,0.029,21.105,,1b4u , A ,132,1.318,0.034,17.943
1bbo , A ,2,56,0.671,0.027,28.172,,1a0n , B ,58,1.07,0.066,17.765
1y7m , A ,2,161,1.557,0.047,17.175,,1wid , A ,117,1.456,0.044,14.787
1js8 , A ,2,382,3.359,0.051,22.725,,1erc , A ,40,0.804,0.074,9.216
1a16 , A ,2,439,2.86,0.033,27.128,,1jad , A ,235,1.182,0.007,37.585
1tte , A ,2,215,1.05,0.023,26.278,,1gv8 , A ,159,1.994,0.062,15.502
1ha0 , A ,2,494,2.139,0.012,38.892,,1jbg , A ,106,0.678,0.021,20.21
1d5r , A ,2,307,2.372,0.038,23.489,,1b2v , A ,173,1.952,0.055,15.589
1q4k , A ,2,222,2.134,0.046,18.561,,2o8i , A ,154,1.612,0.042,17.954
,,,,,,,,1lkf , A ,292,2.26,0.035,23.963
,,,,,,,,1gd8 , A ,105,1.365,0.047,16.032
,,,,,,,,1a91 , A ,79,0.805,0.02,18.541
,,,,,,,,1a3a , A ,145,1.869,0.065,14.738
,,,,,,,,1fsi , A ,179,1.902,0.045,21.989
,,,,,,,,1gvm , A ,127,1.197,0.025,19.181
,,,,,,,,1f0j , A ,351,3.155,0.052,21.847
,,,,,,,,1m1p , A ,87,1.095,0.039,13.725
,,,,,,,,1qz4 , A ,213,2.361,0.058,17.007
,,,,,,,,1ahj , A ,198,0.97,0.035,21.659
,,,,,,,,1a22 , A ,180,1.883,0.045,22.321
,,,,,,,,1ck2 , A ,104,1.448,0.064,14.368
,,,,,,,,1hky , A ,86,0.702,0.043,27.51
,,,,,,,,1ow1 , A ,167,2.05,0.056,15.622
,,,,,,,,1aqa , A ,84,1.279,0.06,12.262
,,,,,,,,1kpt , A ,105,1.525,0.065,14.82
,,,,,,,,1dvo , A ,152,0.884,0.018,24.297
,,,,,,,,10000000000000000000000000000000000000000000000000000, A ,56,0.686,0.024,21.631
,,,,,,,,1fw2 , A ,257,2.472,0.048,19.536
,,,,,,,,1qgw , A ,75,0.613,0.01,20.592
,,,,,,,,1i49 , A ,201,1.247,0.01,31.404
,,,,,,,,1wmm , A ,143,1.762,0.053,15.333
,,,,,,,,1dl6 , A ,58,0.361,0.016,17.222
,,,,,,,,1jl0 , A ,340,3.372,0.062,19.126
,,,,,,,,1bg2 , A ,323,3.013,0.051,20.503
,,,,,,,,2ob5 , A ,152,1.988,0.062,14.76
,,,,,,,,1j3a , A ,129,1.611,0.053,14.849
,,,,,,,,1no5 , A ,100,1.425,0.054,13.435
,,,,,,,,1a5k , A ,100,1.321,0.049,21.901
,,,,,,,,1xly , A ,224,1.97,0.037,20.825
,,,,,,,,1c39 , A ,152,1.809,0.052,16.825
,,,,,,,,1bxy , A ,60,0.924,0.06,11.795
,,,,,,,,1gp8 , A ,40,0.598,0.038,11.365
,,,,,,,,1t62 , A ,153,1.656,0.042,20.51
,,,,,,,,2icu , A ,207,2.194,0.057,17.234
,,,,,,,,1u5u , A ,366,3.339,0.053,21.086
,,,,,,,,1om2 , A ,95,0.721,0.025,34.73
,,,,,,,,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, A ,174,2.01,0.059,20.813
,,,,,,,,2hh8 , A ,127,1.622,0.055,14.132
,,,,,,,,1a1w , A ,83,1.272,0.061,12.272
,,,,,,,,1c4t , A ,226,2.326,0.045,23.592
,,,,,,,,1squ , A ,152,1.879,0.057,15.675
,,,,,,,,1bjp , A ,62,0.723,0.026,16.783
,,,,,,,,1a02 , F ,53,0.437,0.007,25.401
,,,,,,,,1mae , L ,123,1.593,0.058,19.546
,,,,,,,,1wij , A ,127,1.535,0.048,14.779
,,,,,,,,2jpq , A ,83,0.382,0.02,18.69
,,,,,,,,1s04 , A ,110,1.42,0.053,13.719
,,,,,,,,1k1v , A ,41,0.726,0.051,10.28
,,,,,,,,1by2 , A ,112,1.657,0.07,13.108
,,,,,,,,1aqc , A ,121,1.545,0.05,16.903
,,,,,,,,1af3 , A ,145,1.817,0.057,15.218
,,,,,,,,1s4k , A ,115,1.212,0.034,16.248
,,,,,,,,1a37 , A ,195,1.851,0.041,19.051
,,,,,,,,1a03 , A ,90,1.029,0.039,16.854
,,,,,,,,1a2k , A ,124,1.582,0.049,16.955
,,,,,,,,1ag2 , A ,103,1.352,0.051,13.697
,,,,,,,,2ijq , A ,146,1.865,0.06,14.667
,,,,,,,,1g4f , A ,86,1.095,0.045,13.982
,,,,,,,,1e0a , A ,184,1.96,0.05,17.384
,,,,,,,,1dlm , A ,309,1.98,0.032,25.532
,,,,,,,,2igs , A ,220,2.309,0.052,18.185
,,,,,,,,1duc , A ,121,1.101,0.036,17.762
,,,,,,,,2onk , A ,240,2.313,0.046,19.317
,,,,,,,,1ble , A ,161,1.869,0.055,17.149
,,,,,,,,12ca , A ,255,2.625,0.056,17.449
,,,,,,,,1mo7 , A ,213,2.307,0.051,17.224
,,,,,,,,2pv4 , A ,146,1.541,0.044,17.044
,,,,,,,,1a15 , A ,67,0.769,0.037,14.501
,,,,,,,,1p68 , A ,102,1.324,0.053,13.312
,,,,,,,,1ai9 , A ,192,2.068,0.051,16.736
,,,,,,,,1ako , A ,268,2.751,0.059,18.089
,,,,,,,,1e8o , A ,74,1.084,0.049,13.841
,,,,,,,,1wpn , A ,197,2.265,0.064,15.799
,,,,,,,,1j3l , A ,163,1.858,0.059,15.917
,,,,,,,,1e7p , C ,254,2.044,0.029,22.678
,,,,,,,,1aa2 , A ,108,1.555,0.064,12.778
,,,,,,,,1bct , A ,69,0.5,0.006,29.94
,,,,,,,,1nyn , A ,111,0.534,0.03,20.78
,,,,,,,,1ax3 , A ,162,2.04,0.058,15.046
,,,,,,,,1ar1 , A ,529,4.111,0.052,23.31
,,,,,,,,1bnk , A ,200,2.301,0.06,16.526
,,,,,,,,1sig , A ,305,2.154,0.026,30.91
,,,,,,,,1a3p , A ,43,0.715,0.05,18.242
,,,,,,,,1fs1 , A ,41,0.822,0.062,12.541
,,,,,,,,1dbu , A ,150,1.84,0.059,14.946
,,,,,,,,1kmx , A ,55,0.693,0.026,62.307
,,,,,,,,1n2m , A ,163,1.804,0.049,16.608
,,,,,,,,1a5r , A ,103,0.513,0.024,73.561
,,,,,,,,1cm2 , A ,85,1.297,0.066,12.136
,,,,,,,,1ajw , A ,145,1.561,0.04,16.631
,,,,,,,,1k6d , A ,217,2.278,0.048,18.051
,,,,,,,,1gyd , B ,315,3.174,0.059,20.388
,,,,,,,,1aiw , A ,62,1.043,0.061,10.94
,,,,,,,,1afc , A ,127,1.79,0.068,13.298
,,,,,,,,1ab1 , A ,49,0.891,0.064,16.253
,,,,,,,,1a07 , A ,105,1.429,0.055,24.806
,,,,,,,,1i3p , A ,274,2.465,0.045,19.835
,,,,,,,,1vr0 , A ,229,2.452,0.061,26.78
,,,,,,,,1aal , A ,58,0.924,0.057,14.149
,,,,,,,,2o5h , A ,133,1.672,0.053,15.02
,,,,,,,,1q60 , A ,99,1.239,0.045,14.722
,,,,,,,,1hyn , P ,293,2.869,0.053,21.727
,,,,,,,,1gef , A ,120,1.579,0.055,14.352
,,,,,,,,1bo9 , A ,73,1.192,0.065,11.124
,,,,,,,,16vp , A ,311,2.398,0.033,22.691
,,,,,,,,2guk , A ,112,1.315,0.043,19.014
,,,,,,,,1gu9 , A ,170,1.932,0.049,18.384
,,,,,,,,1axj , A ,122,1.436,0.056,13.656
,,,,,,,,1udz , A ,179,2.015,0.055,16.644
,,,,,,,,1b7b , A ,307,2.866,0.052,20.337
,,,,,,,,1a23 , A ,189,1.912,0.047,130.584
,,,,,,,,1t23 , A ,93,1.333,0.065,12.481
,,,,,,,,1pi1 , A ,185,2.029,0.046,17.351
,,,,,,,,1q7s , A ,118,1.572,0.06,15.813
,,,,,,,,1jo6 , A ,45,0.464,0.013,18.208
,,,,,,,,2hq4 , A ,158,1.732,0.047,16.474
,,,,,,,,1u4h , A ,181,1.868,0.041,17.556
,,,,,,,,1v30 , A ,118,1.516,0.054,14.507
,,,,,,,,1r0d , A ,189,1.765,0.035,19.966
,,,,,,,,2exe , A ,264,2.42,0.049,18.765
,,,,,,,,1yem , A ,163,1.758,0.046,19.986
,,,,,,,,1tvs , A ,75,0.781,0.02,55.931
,,,,,,,,1m21 , A ,487,4.191,0.062,22.257
,,,,,,,,1e8r , A ,50,0.905,0.07,10.166
,,,,,,,,1a28 , A ,251,2.488,0.05,19.388
,,,,,,,,1icf , I ,65,0.961,0.047,12.821
,,,,,,,,1l9l , A ,74,1.179,0.061,19.49
,,,,,,,,1trl , A ,62,0.973,0.056,11.611
,,,,,,,,1b9l , A ,119,1.342,0.038,16.507
,,,,,,,,1b75 , A ,94,1.247,0.054,13.858
,,,,,,,,1hjz , A ,192,2.29,0.064,16.061
