PDB ,  Chain ,  Domains ,  Length ,  No. of buried residues ,  Pairwise intersection with k=1 ,  k=2 ,  k=3 ,  k=4
1e3d , A , 2 , 262 ,  114 ,  0 ,  1 ,  18 ,  32

3bb0 , A , 2 , 575 ,  241 ,  0 ,  1 ,  5 ,  16

1jj2 , K , 2 , 145 ,  18 ,  0 ,  7 ,  21 ,  42

1ssq , A , 2 , 241 ,  84 ,  0 ,  3 ,  15 ,  42

3n4i , B , 2 , 165 ,  54 ,  0 ,  5 ,  19 ,  32

2ghj , B , 2 , 90 ,  22 ,  0 ,  0 ,  13 ,  16

3cov , A , 2 , 288 ,  88 ,  0 ,  1 ,  7 ,  19

3p0b , A , 2 , 530 ,  220 ,  0 ,  1 ,  1 ,  15

1iak , B , 2 , 185 ,  58 ,  0 ,  0 ,  3 ,  8

1n93 , X , 2 , 335 ,  83 ,  0 ,  0 ,  10 ,  36

1vzy , A , 2 , 290 ,  97 ,  0 ,  0 ,  12 ,  31

2h88 , C , 2 , 139 ,  19 ,  0 ,  0 ,  0 ,  3

3i4d , H , 2 , 245 ,  72 ,  0 ,  0 ,  4 ,  11

2qia , A , 2 , 262 ,  84 ,  0 ,  0 ,  16 ,  39

2zp1 , A , 2 , 308 ,  101 ,  0 ,  0 ,  12 ,  18

2e5y , A , 2 , 133 ,  35 ,  0 ,  0 ,  19 ,  29

1clc , A , 2 , 541 ,  249 ,  0 ,  0 ,  7 ,  17

1mgp , A , 2 , 270 ,  98 ,  0 ,  11 ,  17 ,  50

1t2d , A , 2 , 315 ,  112 ,  0 ,  6 ,  19 ,  37

1xt0 , B , 2 , 200 ,  51 ,  0 ,  1 ,  19 ,  28

1k30 , A , 2 , 363 ,  113 ,  0 ,  3 ,  5 ,  14

1a8v , A , 2 , 115 ,  28 ,  0 ,  6 ,  19 ,  50

2pv7 , A , 2 , 270 ,  102 ,  0 ,  0 ,  18 ,  15

3c2u , A , 2 , 549 ,  256 ,  0 ,  0 ,  14 ,  27

1c7c , A , 2 , 283 ,  79 ,  0 ,  0 ,  10 ,  20

1rzh , M , 2 , 301 ,  93 ,  0 ,  0 ,  0 ,  1

2fpn , A , 2 , 198 ,  36 ,  0 ,  0 ,  2 ,  15

1a41 , A , 2 , 221 ,  55 ,  0 ,  0 ,  12 ,  29

1gmu , A , 2 , 138 ,  35 ,  0 ,  0 ,  16 ,  38

1zcn , A , 2 , 143 ,  38 ,  0 ,  12 ,  22 ,  47

3cwv , A , 2 , 350 ,  125 ,  0 ,  0 ,  11 ,  27

1vqz , A , 2 , 327 ,  98 ,  0 ,  0 ,  9 ,  15

2c0g , A , 2 , 229 ,  0 ,  0 ,  0 ,  0 ,  0

1e3a , A , 2 , 258 ,  104 ,  0 ,  0 ,  1 ,  9

1uha , A , 2 , 82 ,  18 ,  0 ,  1 ,  12 ,  28

3fmt , E , 2 , 162 ,  38 ,  0 ,  0 ,  11 ,  28

1lsl , A , 2 , 113 ,  1 ,  0 ,  9 ,  27 ,  54

1o9i , A , 2 , 266 ,  148 ,  0 ,  0 ,  2 ,  2

1dl5 , A , 2 , 317 ,  115 ,  0 ,  0 ,  15 ,  28

2a9d , A , 2 , 369 ,  148 ,  0 ,  3 ,  13 ,  21

1dkg , A , 2 , 158 ,  36 ,  0 ,  0 ,  0 ,  2

1ppr , M , 2 , 312 ,  40 ,  0 ,  0 ,  0 ,  3

3c24 , A , 2 , 278 ,  101 ,  0 ,  0 ,  14 ,  16

2ph7 , A , 2 , 214 ,  69 ,  0 ,  2 ,  19 ,  38

2fb5 , A , 2 , 204 ,  51 ,  0 ,  0 ,  9 ,  26

2auw , A , 2 , 156 ,  29 ,  0 ,  0 ,  12 ,  15

3qxz , A , 2 , 267 ,  114 ,  0 ,  6 ,  23 ,  45

1lnz , A , 2 , 332 ,  95 ,  0 ,  0 ,  0 ,  9

1k5n , A , 2 , 285 ,  88 ,  0 ,  0 ,  4 ,  16

1dzf , A , 2 , 211 ,  39 ,  0 ,  2 ,  9 ,  18

1qiu , A , 2 , 264 ,  101 ,  0 ,  0 ,  9 ,  9

1ux6 , A , 2 , 335 ,  44 ,  0 ,  0 ,  4 ,  5

1joc , A , 2 , 123 ,  0 ,  0 ,  0 ,  0 ,  0

1jgt , A , 2 , 490 ,  206 ,  0 ,  0 ,  0 ,  6

1uly , A , 2 , 185 ,  34 ,  0 ,  0 ,  1 ,  6

1d3y , A , 2 , 289 ,  114 ,  0 ,  0 ,  6 ,  29

2ess , A , 2 , 244 ,  59 ,  0 ,  5 ,  13 ,  28

3cjr , B , 2 , 118 ,  27 ,  0 ,  0 ,  13 ,  23

1kq3 , A , 2 , 364 ,  139 ,  0 ,  1 ,  18 ,  32

1qnt , A , 2 , 166 ,  48 ,  0 ,  5 ,  26 ,  48

3k9o , A , 2 , 198 ,  52 ,  0 ,  2 ,  11 ,  35

2cnd , A , 2 , 260 ,  67 ,  0 ,  0 ,  11 ,  23

2p84 , A , 2 , 136 ,  23 ,  0 ,  2 ,  7 ,  16

1prt , B , 2 , 196 ,  78 ,  0 ,  1 ,  30 ,  54

2haw , A , 2 , 315 ,  127 ,  0 ,  0 ,  17 ,  41

2a25 , A , 2 , 146 ,  43 ,  0 ,  12 ,  34 ,  73

1ytf , D , 2 , 100 ,  34 ,  0 ,  2 ,  8 ,  19

1hnj , A , 2 , 317 ,  117 ,  0 ,  13 ,  18 ,  34

1inl , C , 2 , 293 ,  144 ,  0 ,  3 ,  16 ,  50

3h90 , A , 2 , 283 ,  77 ,  0 ,  0 ,  1 ,  3

1k2f , A , 2 , 190 ,  55 ,  0 ,  3 ,  11 ,  34

2i15 , A , 2 , 122 ,  27 ,  0 ,  0 ,  12 ,  31

2hxv , A , 2 , 349 ,  110 ,  0 ,  0 ,  8 ,  26

3nt1 , A , 2 , 555 ,  221 ,  0 ,  0 ,  5 ,  2

3jyu , B , 2 , 213 ,  49 ,  0 ,  0 ,  8 ,  20

3cj8 , B , 3 , 213 ,  68 ,  0 ,  0 ,  12 ,  31

1cuk , A , 3 , 190 ,  39 ,  0 ,  0 ,  2 ,  17

1jey , B , 3 , 530 ,  176 ,  0 ,  0 ,  0 ,  0

1gql , A , 3 , 705 ,  333 ,  0 ,  0 ,  0 ,  5

1t3q , C , 3 , 285 ,  98 ,  0 ,  3 ,  18 ,  34

1r0v , A , 3 , 244 ,  94 ,  0 ,  0 ,  10 ,  33

1vcl , A , 3 , 431 ,  147 ,  0 ,  0 ,  2 ,  10

3swo , B , 3 , 398 ,  188 ,  0 ,  0 ,  21 ,  25

1d4v , A , 3 , 117 ,  12 ,  0 ,  0 ,  0 ,  4

1ki0 , A , 3 , 253 ,  93 ,  0 ,  0 ,  0 ,  7

3hn4 , A , 3 , 259 ,  65 ,  0 ,  2 ,  1 ,  20

1mox , A , 3 , 499 ,  166 ,  0 ,  0 ,  0 ,  5

1e8b , A , 3 , 160 ,  57 ,  0 ,  0 ,  8 ,  28

1r8e , A , 3 , 275 ,  55 ,  0 ,  0 ,  5 ,  9

1vq8 , P , 3 , 143 ,  18 ,  0 ,  0 ,  0 ,  1

1opl , B , 3 , 365 ,  109 ,  0 ,  0 ,  2 ,  17

3gku , A , 3 , 199 ,  41 ,  0 ,  0 ,  0 ,  10

3mvq , A , 3 , 495 ,  226 ,  0 ,  0 ,  3 ,  4

2re3 , A , 3 , 186 ,  45 ,  0 ,  1 ,  23 ,  32

2ck3 , A , 3 , 491 ,  202 ,  0 ,  0 ,  1 ,  17

2oas , A , 3 , 420 ,  189 ,  0 ,  0 ,  2 ,  20

1rwh , A , 3 , 755 ,  317 ,  0 ,  0 ,  1 ,  2

3k75 , E , 3 , 246 ,  70 ,  0 ,  0 ,  1 ,  14

2zbk , B , 3 , 506 ,  142 ,  0 ,  0 ,  0 ,  0

1uxy , A , 3 , 340 ,  106 ,  0 ,  1 ,  7 ,  11

2iah , A , 3 , 752 ,  231 ,  0 ,  0 ,  0 ,  0

1jec , A , 3 , 510 ,  168 ,  0 ,  0 ,  0 ,  5

3ffk , A , 3 , 351 ,  107 ,  0 ,  0 ,  3 ,  16

1e8c , A , 3 , 482 ,  187 ,  0 ,  0 ,  0 ,  21

2he7 , A , 3 , 297 ,  72 ,  0 ,  0 ,  0 ,  10

1h6w , A , 3 , 151 ,  9 ,  0 ,  0 ,  0 ,  0

3o08 , A , 3 , 471 ,  190 ,  0 ,  0 ,  4 ,  24

2oza , A , 3 , 332 ,  106 ,  0 ,  1 ,  1 ,  9

1l8q , A , 3 , 317 ,  89 ,  0 ,  0 ,  0 ,  15

2y1e , A , 3 , 374 ,  151 ,  0 ,  4 ,  7 ,  19

2zyd , A , 3 , 464 ,  213 ,  0 ,  0 ,  2 ,  10

3abq , A , 3 , 460 ,  253 ,  0 ,  1 ,  11 ,  34

1f00 , I , 3 , 282 ,  70 ,  0 ,  0 ,  0 ,  7

2q0z , X , 3 , 282 ,  86 ,  0 ,  0 ,  2 ,  11

3a9s , A , 3 , 589 ,  303 ,  0 ,  0 ,  4 ,  13

1td6 , A , 3 , 286 ,  87 ,  0 ,  0 ,  2 ,  22

1nt2 , B , 3 , 236 ,  69 ,  0 ,  0 ,  0 ,  11

1w59 , A , 3 , 350 ,  139 ,  0 ,  5 ,  19 ,  51

1ddt , A , 3 , 523 ,  161 ,  0 ,  0 ,  0 ,  2

1u8v , A , 3 , 490 ,  246 ,  0 ,  0 ,  3 ,  8

1b47 , A , 3 , 304 ,  100 ,  0 ,  0 ,  3 ,  11

1mpg , A , 3 , 282 ,  98 ,  0 ,  9 ,  11 ,  28

1sr8 , A , 3 , 282 ,  93 ,  0 ,  1 ,  8 ,  25

1bvp , 1 , 3 , 349 ,  141 ,  0 ,  0 ,  12 ,  14

3lie , A , 3 , 266 ,  81 ,  0 ,  0 ,  17 ,  31

3c18 , A , 3 , 295 ,  101 ,  0 ,  0 ,  2 ,  9

2gno , A , 3 , 300 ,  82 ,  0 ,  0 ,  5 ,  23

1olz , A , 3 , 621 ,  219 ,  0 ,  0 ,  0 ,  0

1dde , A , 3 , 310 ,  107 ,  0 ,  0 ,  0 ,  20

2jan , A , 3 , 419 ,  126 ,  0 ,  0 ,  0 ,  11

1np7 , B , 3 , 483 ,  176 ,  0 ,  0 ,  3 ,  6

2oq1 , A , 3 , 251 ,  79 ,  0 ,  0 ,  1 ,  19

1q25 , A , 3 , 428 ,  127 ,  0 ,  0 ,  0 ,  2

3git , A , 3 , 422 ,  170 ,  0 ,  0 ,  9 ,  22

1h6u , A , 3 , 308 ,  101 ,  0 ,  0 ,  1 ,  12

3d1g , A , 3 , 366 ,  123 ,  0 ,  0 ,  0 ,  19

1ulk , A , 3 , 126 ,  32 ,  0 ,  0 ,  1 ,  13

2ck3 , F , 3 , 469 ,  201 ,  0 ,  0 ,  2 ,  17

1sox , A , 3 , 463 ,  166 ,  0 ,  1 ,  1 ,  11

1mbm , D , 3 , 195 ,  69 ,  0 ,  3 ,  30 ,  62

1uzk , A , 3 , 151 ,  0 ,  0 ,  0 ,  0 ,  0

5req , B , 3 , 619 ,  265 ,  0 ,  0 ,  0 ,  10

2fml , A , 3 , 256 ,  77 ,  0 ,  0 ,  5 ,  28

1qzf , A , 3 , 519 ,  204 ,  0 ,  0 ,  1 ,  3

1xsz , A , 3 , 384 ,  115 ,  0 ,  0 ,  0 ,  9

1wvf , A , 4 , 539 ,  194 ,  0 ,  0 ,  0 ,  10

3a21 , A , 4 , 616 ,  242 ,  0 ,  0 ,  0 ,  3

1iq8 , A , 4 , 577 ,  261 ,  0 ,  0 ,  8 ,  9

2ahx , A , 4 , 611 ,  163 ,  0 ,  0 ,  0 ,  0

2fo0 , A , 4 , 465 ,  121 ,  0 ,  0 ,  2 ,  3

2fmp , A , 4 , 338 ,  85 ,  0 ,  0 ,  3 ,  1

1ord , A , 4 , 730 ,  336 ,  0 ,  0 ,  0 ,  0

3hu3 , A , 4 , 453 ,  136 ,  0 ,  0 ,  0 ,  6

1pfx , L , 4 , 133 ,  17 ,  0 ,  0 ,  0 ,  2

1sqg , A , 4 , 424 ,  150 ,  0 ,  0 ,  6 ,  13

1kfi , A , 4 , 570 ,  243 ,  0 ,  0 ,  2 ,  11

2hyv , A , 4 , 308 ,  98 ,  0 ,  0 ,  12 ,  11

2uvo , A , 4 , 172 ,  57 ,  0 ,  0 ,  9 ,  14

2gy5 , A , 4 , 423 ,  117 ,  0 ,  0 ,  4 ,  12

2au3 , A , 4 , 403 ,  129 ,  0 ,  0 ,  2 ,  3

1ggt , A , 4 , 710 ,  284 ,  0 ,  0 ,  0 ,  2

2b5e , A , 4 , 483 ,  130 ,  0 ,  0 ,  0 ,  0

1gu2 , A , 1 , 124 ,  27 ,  0 ,  11 ,  24 ,  38

2eng , A , 1 , 205 ,  70 ,  0 ,  12 ,  32 ,  58

2bbv , D , 1 , 16 ,  3 ,  0 ,  3 ,  7 ,  12

1gcc , A , 1 , 63 ,  8 ,  0 ,  5 ,  12 ,  26

2kdc , A , 1 , 121 ,  7 ,  0 ,  6 ,  9 ,  0

2xov , A , 1 , 182 ,  49 ,  0 ,  11 ,  39 ,  60

2aeb , B , 1 , 309 ,  136 ,  0 ,  16 ,  31 ,  48

1lsh , B , 1 , 178 ,  0 ,  0 ,  12 ,  36 ,  72

1hyn , R , 1 , 300 ,  117 ,  0 ,  13 ,  18 ,  33

1gh9 , A , 1 , 71 ,  10 ,  0 ,  13 ,  29 ,  51

1vju , B , 1 , 291 ,  92 ,  0 ,  4 ,  19 ,  32

3mv4 , M , 1 , 249 ,  91 ,  0 ,  5 ,  9 ,  30

1okc , A , 1 , 292 ,  59 ,  0 ,  0 ,  3 ,  19

1h16 , A , 1 , 765 ,  376 ,  0 ,  0 ,  2 ,  5

1dhn , A , 1 , 121 ,  25 ,  0 ,  4 ,  17 ,  32

1n8v , B , 1 , 103 ,  12 ,  0 ,  4 ,  8 ,  16

1auu , A , 1 , 55 ,  12 ,  0 ,  5 ,  22 ,  37

1xs0 , C , 1 , 129 ,  35 ,  0 ,  16 ,  36 ,  70

3mab , A , 1 , 90 ,  23 ,  0 ,  18 ,  45 ,  78

3ik5 , C , 1 , 117 ,  30 ,  0 ,  9 ,  22 ,  47

1ow1 , A , 1 , 167 ,  0 ,  0 ,  3 ,  9 ,  18

1xpp , D , 1 , 114 ,  30 ,  0 ,  0 ,  13 ,  26

3cmb , A , 1 , 264 ,  94 ,  0 ,  3 ,  11 ,  25

3fy6 , B , 1 , 122 ,  36 ,  0 ,  5 ,  24 ,  28

2hhg , A , 1 , 130 ,  31 ,  0 ,  20 ,  25 ,  96

1jni , A , 1 , 62 ,  1 ,  0 ,  1 ,  3 ,  6

2wlv , A , 1 , 154 ,  42 ,  0 ,  8 ,  23 ,  44

2jli , A , 1 , 112 ,  25 ,  0 ,  14 ,  46 ,  64

2ny1 , A , 1 , 305 ,  93 ,  0 ,  7 ,  4 ,  11

1vps , B , 1 , 289 ,  124 ,  0 ,  0 ,  6 ,  26

1whi , A , 1 , 122 ,  36 ,  0 ,  21 ,  44 ,  72

1l9l , A , 1 , 74 ,  17 ,  0 ,  14 ,  30 ,  63

2hs1 , A , 1 , 119 ,  28 ,  0 ,  12 ,  37 ,  65

3b9w , A , 1 , 366 ,  142 ,  0 ,  10 ,  21 ,  28

1vq8 , M , 1 , 194 ,  46 ,  0 ,  1 ,  14 ,  19

1m9o , A , 1 , 40 ,  3 ,  0 ,  3 ,  9 ,  18

1irq , A , 1 , 51 ,  10 ,  0 ,  6 ,  16 ,  27

2aib , A , 1 , 98 ,  15 ,  0 ,  3 ,  12 ,  24

3d31 , C , 1 , 248 ,  99 ,  0 ,  0 ,  7 ,  11

1y7j , A , 1 , 40 ,  2 ,  0 ,  2 ,  4 ,  9

1hp8 , A , 1 , 68 ,  8 ,  0 ,  6 ,  10 ,  20

1r45 , A , 1 , 201 ,  58 ,  0 ,  2 ,  14 ,  40

1aa3 , A , 1 , 63 ,  13 ,  0 ,  12 ,  29 ,  60

2w2e , A , 1 , 272 ,  87 ,  0 ,  4 ,  17 ,  45

1olg , A , 1 , 42 ,  4 ,  0 ,  1 ,  3 ,  6

2ag4 , A , 1 , 164 ,  11 ,  0 ,  0 ,  1 ,  3

1jfw , A , 1 , 86 ,  19 ,  0 ,  15 ,  38 ,  66

1mc2 , A , 1 , 122 ,  0 ,  0 ,  10 ,  30 ,  60

3dt5 , A , 1 , 124 ,  23 ,  0 ,  10 ,  20 ,  31

2k1g , A , 1 , 129 ,  38 ,  0 ,  25 ,  47 ,  83

1apj , A , 1 , 74 ,  0 ,  0 ,  9 ,  27 ,  54

3bjq , J , 1 , 296 ,  98 ,  0 ,  0 ,  6 ,  17

3o1c , A , 1 , 137 ,  29 ,  0 ,  13 ,  37 ,  59

2nqw , A , 1 , 96 ,  17 ,  0 ,  16 ,  38 ,  71

2fpq , A , 1 , 426 ,  144 ,  0 ,  3 ,  6 ,  9

